IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_EQ_DIAGRAMPIECE_RAN_TYPE_AVOID_EXPR	【レンジャー【鷹】の専用装備品図片】　80個集めると「鷹の矢筒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAN_TYPE_MONS_EXPR	【レンジャー【狼】の専用装備品図片】　80個集めると「狼の矢筒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAN_TYPE_JEWELDAMEGE_EXPR	【レンジャー【蛇】の専用装備品図片】　80個集めると「蛇の矢筒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BLA_TYPE_TK_MONS_EXPR	【破獣・マーシャルマスターの専用装備品図片】　80個集めると「破獣之金印図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BLA_TYPE_TK_HUMAN_EXPR	【残人・マーシャルマスターの専用装備品図片】　80個集めると「残人之金印図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BLA_TYPE_TK_MECHA_EXPR	【機壊・マーシャルマスターの専用装備品図片】　80個集めると「機壊之金印図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BAA_TYPE_MOVE_EXPR	【ダークナイト【シュピオン】の専用装備品図片】　80個集めると「シュピオンの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BAA_TYPE_ITIGEKI_EXPR	【ダークナイト【ゲルニカ】の専用装備品図片】　80個集めると「ゲルニカの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BAA_TYPE_RISKY_EXPR	【ダークナイト【ファウスト】の専用装備品図片】　80個集めると「ファウストの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BAA_TYPE_DRAIN_EXPR	【ダークナイト【ゼーレ】の専用装備品図片】　80個集めると「ゼーレの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BAA_TYPE_ATTAK_EXPR	【ダークナイト【イェーガー】の専用装備品図片】　80個集めると「イェーガーの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BAA_TYPE_ARM_EXPR	【ダークナイト【ヴィルト】の専用装備品図片】　80個集めると「ヴィルトの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ELEMENTAL_FIRE_EXPR	【賢者【オベリスク】の専用装備品図片】　80個集めると「オベリスクメダリオン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ELEMENTAL_WATER_EXPR	【賢者【カルナック】の専用装備品図片】　80個集めると「カルナックメダリオン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ELEMENTAL_WIND_EXPR	【賢者【ロゼッタ】の専用装備品図片】　80個集めると「ロゼッタメダリオン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ELEMENTAL_THUNDER_EXPR	【賢者【モノリス】の専用装備品図片】　80個集めると「モノリスメダリオン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ELEMENTAL_POWER_EXPR	【賢者【パンドラ】の専用装備品図片】　80個集めると「パンドラメダリオン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CSWORD_FIRE_EXPR	【魔法剣士【イフリート】の専用装備品図片】　80個集めると「イフリートの剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CSWORD_WATER_EXPR	【魔法剣士【フェンリル】の専用装備品図片】　80個集めると「フェンリルの剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CSWORD_WIND_EXPR	【魔法剣士【シルフィード】の専用装備品図片】　80個集めると「シルフィードの剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CSWORD_THUNDER_EXPR	【魔法剣士【イクシオン】の専用装備品図片】　80個集めると「イクシオンの剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CSWORD_SHINE_EXPR	【魔法剣士【ペガサス】の専用装備品図片】　80個集めると「ペガサスの剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CSWORD_DARK_EXPR	【魔法剣士【キマイラ】の専用装備品図片】　80個集めると「キマイラの剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SHN_RUCK_CT_PLUS_EXPR	【商人【計り狸】の専用装備品図片】　80個集めると「計り狸のリュック図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SHN_RUCK_CHARM_EXPR	【商人【誘い達磨】の専用装備品図片】　80個集めると「誘い達磨のリュック図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SHN_RUCK_HEEL_EXPR	【商人【恵み鶴】の専用装備品図片】　80個集めると「恵み鶴のリュック図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SHN_RUCK_FINANCIAL_EXPR	【商人【招き猫】の専用装備品図片】　80個集めると「招き猫のリュック図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_JAMADHAR_ANTI_MAGIC_EXPR	【暗殺者【宵】専用装備品図片】　80個集めると「宵のジャマダハル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_JAMADHAR_SCOUT_EXPR	【暗殺者【闇】専用装備品図片】　80個集めると「闇のジャマダハル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_JAMADHAR_THI_EXPR	【暗殺者【夜】専用装備品図片】　80個集めると「夜のジャマダハル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RIFLE_SNIPE_EXPR	【スナイパー【スコープ】の専用装備品図片】　80個集めると「スコープライフル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RIFLE_LONG_RANGE_EXPR	【スナイパー【バレル】の専用装備品図片】　80個集めると「バレルライフル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RIFLE_ZERO_RANGE_EXPR	【スナイパー【マグナム】の専用装備品図片】　80個集めると「マグナムライフル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MAJ_GUNHOLDER_FIRE_EXPR	【ホルス・マギアシューターの専用装備品図片】　80個集めると「ホルスガンホルダー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MAJ_GUNHOLDER_WATER_EXPR	【イシス・マギアシューターの専用装備品図片】　80個集めると「イシスガンホルダー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MAJ_GUNHOLDER_WIND_EXPR	【セト・マギアシューターの専用装備品図片】　80個集めると「セトガンホルダー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MAJ_GUNHOLDER_THUNDER_EXPR	【ラー・マギアシューターの専用装備品図片】　80個集めると「ラーガンホルダー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VISIONMASK_DIST_EXPR	【奇術師【フェイク】の専用装備品図片】80個集めると「フェイクマスク図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VISIONMASK_SUP_EXPR	【奇術師【フラリッシュ】の専用装備品図片】80個集めると「フラリッシュマスク図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VISIONMASK_CHAN_EXPR	【奇術師【イリュージョン】の専用装備品図片】80個集めると「イリュージョンマスク図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KYARORU_CLEANER_EXPR	80個集めると「サイクロンスイーパー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KYARORU_HEADDRESS_EXPR	80個集めると「バトルメイドバンド図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KYARORU_MAIDCLOTHES_EXPR	80個集めると「バトルメイドドレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KYARORU_CUFFS_EXPR	80個集めると「バトルメイドカフス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KYARORU_TOOL_EXPR	80個集めると「メイドの工具箱図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KYARORU_FOOD_EXPR	80個集めると「メイドのお手製ポトフ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_REGI01_EXPR	80個集めると「レギス王の衣装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_COR01_EXPR	80個集めると「コルの戦闘服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_IRIS01_EXPR	80個集めると「イリスのカジュアル服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BERS_EXPR	80個集めると「スーリヤガントレット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_POK_B_LAEV01_EXPR	80個集めると「怠惰の戦装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_POK_B_LONG01_EXPR	80個集めると「嫉妬の戦装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUNL_EXPR	80個集めると「ダイダリオンの銃槍図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FIONA01_EXPR	80個集めると「エルレスター家の装具図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUROB01_EXPR	80個集めると「蛇姫のヘアバンド図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOAH_GLASSES_EXPR	80個集めると「モラルグラス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOAH_UNIFORM_EXPR	80個集めると「魔法学校指定制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOAH_BOOTS_EXPR	80個集めると「魔法学校指定ブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOAH_BOOK_EXPR	80個集めると「魔法学総論図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOAH_CHECKLIST_EXPR	80個集めると「魔法学実験レポート図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOAH_SPOON_EXPR	80個集めると「スプーン磨きセット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ORB_ANTI_BUFF_EXPR	【零のエンハンサーの専用装備品図片】　80個集めると「零のオーブ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ORB_FIRE_EXPR	【烈火のエンハンサーの専用装備品図片】　80個集めると「烈火のオーブ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ORB_WATER_EXPR	【蒼水のエンハンサーの専用装備品図片】　80個集めると「蒼水のオーブ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ORB_WIND_EXPR	【翠風のエンハンサーの専用装備品図片】　80個集めると「翠風のオーブ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ORB_THUNDER_EXPR	【轟雷のエンハンサーの専用装備品図片】　80個集めると「轟雷のオーブ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CADA_GUA_CC_01_EXPR	80個集めると「ラムプロードヒート図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CADA_GUA_CC_02_EXPR	80個集めると「焔竜のレリーフ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CADA_GUA_CC_03_EXPR	80個集めると「焔竜のガントレット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CADA_GUA_CC_04_EXPR	80個集めると「焔竜のブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CADA_GUA_CC_05_EXPR	80個集めると「第四騎士団の団章図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CADA_GUA_CC_06_EXPR	80個集めると「焔竜の駒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_THOL_CLOTHES_EXPR	80個集めると「無光の黒衣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ALMA01_EXPR	80個集めると「アルマの学生服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KAYA01_EXPR	80個集めると「探査魔導具アンティ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_AOT_EREN01_EXPR	80個集めると「エレンの制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_AOT_REIN01_EXPR	80個集めると「ライナーの制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_AOT_LEVI01_EXPR	80個集めると「リヴァイの制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_AOT_HANJ01_EXPR	80個集めると「ハンジの制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_BUD01_EXPR	80個集めると「蒼炎騎士団軍装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUDI01_EXPR	80個集めると「機甲工具図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_AOT_MIKA01_EXPR	80個集めると「ミカサの制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZAYIN_KAMI_EXPR	80個集めると「白光の装身具図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZAYIN_MANT_EXPR	80個集めると「純白の騎士外套図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZAYIN_GLOVE_EXPR	80個集めると「純白の騎士手甲図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZAYIN_KOMA_EXPR	80個集めると「ロードマスター儀礼装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZAYIN_FRAG_EXPR	80個集めると「ロードマスターの証図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZAYIN_PEN_EXPR	80個集めると「バベル大陸遠征記図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HENC_EXPR	80個集めると「精彩の珠宝器図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SYO_HORN_AGA_EXPR	【アガルタの召喚師専用装備品図片】　80個集めると「アガルタホーン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SYO_HORN_TIR_EXPR	【ティルナノグの召喚師専用装備品図片】　80個集めると「ティルナノグホーン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SYO_HORN_HEL_EXPR	【ヘルヘイムの召喚師専用装備品図片】　80個集めると「ヘルヘイムホーン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_STRB_EXPR	80個集めると「羅刹の力帯図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_APR_LIZ_EXPR	80個集めると「蜥蜴の腰巻き図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_TWINSWORD_ATK_EXPR	【鬼滅の双剣士の専用装備品図片】　80個集めると「鬼滅の双剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_TWINSWORD_MOVE_EXPR	【神速の双剣士の専用装備品図片】　80個集めると「神速の双剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_TWINSWORD_MONS_EXPR	【魔狩の双剣士の専用装備品図片】　80個集めると「魔狩の双剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_TWINSWORD_WATER_EXPR	【狭霧の双剣士の専用装備品図片】　80個集めると「狭霧の双剣図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CANO_LORD_CC_01_EXPR	80個集めると「グロリアスティアラ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_CANO_LORD_CC_02_EXPR	80個集めると「グロリアスドレス図案」を生成することが出来るアイテム
